1,19
2,29
3,6
4,18
5,19
6,11
7,2
8,2
9,5
10,7
11,2
12,4
13,25
14,20
15,28
16,12
17,5
18,22
19,21
20,7
21,21
22,13
23,16
24,4
25,13
26,19
27,11
28,21
29,15
30,3
31,6
32,19
33,2
34,24
35,1
36,3
37,17
38,13
39,17
40,16
41,16
42,5
43,5
44,27
45,27
46,11
47,11
48,24
49,2
50,22
51,20
52,19
53,29
54,14
55,25
56,23
57,23
58,11
59,27
60,28
61,9
62,4
63,20
64,27
65,27
66,6
67,30
68,12
69,28
70,16
71,15
72,17
73,13
74,7
75,28
76,9
77,29
78,16
79,8
80,7
81,16
82,2
83,1
84,14
85,30
86,27
87,21
88,13
89,1
90,20
91,14
92,9
93,22
94,4
95,9
96,8
97,6
98,30
99,4
100,26
101,25
102,25
103,1
104,25
105,5
106,24
107,24
108,6
109,14
110,10
111,24
112,18
113,20
114,10
115,9
116,23
117,15
118,18
119,11
120,30
121,10
122,5
123,12
124,29
125,29
126,12
127,22
128,24
129,18
130,12
131,27
132,13
133,17
134,14
135,10
136,23
137,21
138,14
139,2
140,14
141,17
142,3
143,9
144,1
145,30
146,7
368,29
369,21
370,19
371,15
372,21
373,18
374,17
375,6
376,4
377,9
378,8
379,30
380,2
382,19
383,28
384,17
385,28
386,20
387,20
388,16
390,6
391,5
392,23
393,6
394,10
395,6
396,17
397,
398,30
399,13
400,7
401,20
402,8
403,22
404,14
405,18
406,27
407,22
408,28
409,15
410,23
411,1
412,12
413,7
414,6
415,7
416,24
417,30
418,19
419,15
420,26
421,25
422,11
423,3
425,23
426,1
427,22
428,2
429,26
465,1
466,20
467,2
468,10
469,4
470,14
471,4
472,15
473,30
474,19
475,15
476,3
477,8
478,7
479,21
480,15
482,25
483,16
484,25
485,16
486,1
487,8
488,23
489,21
490,10
491,24
492,10
493,1
494,28
495,27
496,19
497,12
498,2
499,16
500,18
501,26
502,16
503,19
504,24
505,28
506,1
507,3
508,23
509,9
510,26
511,3
512,26
513,10
514,13
515,28
516,29
517,13
518,12
519,12
520,22
521,10
522,8
523,22
524,11
525,26
526,23
527,26
528,2
529,30
530,5
531,22
532,15
533,29
534,14
535,26
536,17
537,3
538,15
539,8
540,7
541,11
542,12
543,24
545,12
546,29
547,30
548,9
549,14
550,4
551,6
552,18
553,24
554,26
555,11
556,13
557,14
