1,10
2,7
3,3
4,32
5,29
6,54
7,37
8,35
9,39
10,125
11,430
12,14
13,5
14,9
15,66
16,154
17,63
18,4
19,94
20,150
21,2
22,97
23,167
24,160
25,27
26,79
27,157
28,371
29,18
30,33
31,24
32,23
33,46
34,148
35,17
36,149
37,369
38,6
39,13
40,50
41,159
42,186
43,44
44,75
45,464
46,151
47,14
48,73
49,100
50,104
51,57
52,36
53,121
54,370
55,462
56,26
57,375
58,25
59,463
60,103
61,431
62,142
63,155
64,38
65,52
66,43
67,145
68,89
69,187
70,245
71,165
72,68
73,138
74,12
75,382
76,101
77,161
78,147
79,432
80,62
81,28
82,77
83,1
84,8
85,63
86,390
87,99
88,203
89,163
90,81
91,121
92,224
93,231
94,82
95,222
96,173
97,373
98,12
99,223
100,122
101,45
102,374
103,234
104,121
105,436
106,164
107,158
108,17
109,243
110,433
111,245
112,378
113,69
114,232
115,379
116,155
117,162
118,376
119,221
120,439
121,438
122,133
123,106
124,109
125,384
126,116
127,442
128,228
129,72
130,48
131,406
132,168
133,53
134,251
135,233
136,60
137,80
138,34
139,441
140,435
141,119
142,120
143,85
144,26
145,386
146,452
147,443
148,152
149,74
150,181
151,21
152,388
153,405
154,129
155,393
156,91
157,188
158,126
159,174
160,446
161,17
162,132
163,126
164,229
165,16
166,196
167,225
168,22
169,380
170,189
171,172
172,171
173,437
174,259
175,88
176,31
177,71
178,242
179,227
180,249
181,230
182,402
183,401
184,205
185,64
186,117
187,450
188,389
189,514
190,451
191,166
192,205
193,420
194,48
195,537
196,403
197,216
198,15
199,447
200,404
201,90
202,412
203,83
204,387
205,176
206,445
207,453
208,120
209,449
210,182
211,459
212,410
213,16
214,114
215,457
216,207
217,589
218,397
219,195
220,308
221,531
222,87
223,508
224,136
225,400
226,385
227,9
228,9
229,410
230,395
231,482
232,141
233,417
234,504
235,460
236,2
237,306
238,135
239,265
240,295
241,255
242,105
243,411
244,429
245,263
246,131
247,644
248,635
249,468
250,641
251,398
252,391
253,76
254,264
255,309
256,455
257,192
258,177
259,61
260,65
261,292
262,642
263,185
264,522
265,40
266,643
267,99
268,541
269,467
270,552
271,554
272,546
273,76
274,416
275,123
276,95
277,240
278,127
279,533
280,41
281,489
282,512
283,124
284,414
285,236
286,247
287,535
288,396
289,475
290,92
291,230
292,211
293,408
294,423
295,517
296,118
297,145
298,409
299,524
300,466
