236,Dan,Straily,11,4.10,1.27,154,"",573185
237,Mike,Foltynewicz,10,3.96,1.29,158,"",592314
243,Trevor,Bauer,11,4.16,1.32,168,"",545333
245,Alex,Cobb,9,3.58,1.26,136,"",502171
246,Mike,Leake,11,3.93,1.25,135,"",502190
250,Wei-Yin,Chen,10,4.04,1.25,145,"",612672
251,Daniel,Norris,10,3.77,1.32,147,"",596057
256,R.A.,Dickey,11,4.01,1.29,149,"",285079
258,Sonny,Gray,10,3.75,1.29,135,"",543243
259,Junior,Guerra,11,3.86,1.29,135,"",448855
261,Steven,Wright,11,3.86,1.27,130,"",453214
262,Jason,Hammel,10,4.08,1.26,145,"",434628
263,Eduardo,Rodriguez,9,3.73,1.24,129,"",593958
264,Neftali,Feliz,"",3.88,1.24,63,25,491703
265,Raisel,Iglesias,"",3.16,1.11,80,13,628452
266,Andrew,Triggs,"",3.73,1.25,129,0,592811
268,Jaime,Garcia,10,3.82,1.30,140,"",448802
269,Drew,Pomeranz,8,3.72,1.25,135,"",519141
272,Jim,Johnson,"",3.30,1.23,56,22,462382
273,Jordan,Zimmermann,11,4.05,1.26,133,"",519455
277,Adam,Conley,10,3.96,1.35,158,"",543045
280,Garrett,Richards,9,3.66,1.29,133,"",572070
283,Bartolo,Colon,11,3.93,1.26,125,"",112526
285,Ryan,Madson,"",3.63,1.24,51,22,425492
286,David,Phelps,"",2.86,1.15,101,1,475479
292,Mike,Fiers,10,4.02,1.30,140,"",571666
293,Tyler,Skaggs,8,3.86,1.27,137,"",572140
294,Lance,Lynn,9,3.72,1.35,145,"",458681
295,Addison,Reed,"",2.68,1.00,80,4,592665
298,Luis,Severino,10,4.05,1.31,140,"",622663
299,Jose,De,8,3.68,1.26,124,"",592254
300,Dylan,Bundy,"",4.13,1.36,152,0,605164
302,Robert,Gsellman,10,3.83,1.27,120,"",607229
303,Kendall,Graveman,11,3.97,1.26,120,"",608665
307,Chris,Tillman,11,3.91,1.31,126,"",501957
308,Joe,Musgrove,7,3.72,1.18,115,"",605397
309,Nate,Jones,"",2.75,1.03,81,6,518858
313,Brad,Brach,"",2.76,1.11,86,1,542960
315,Brandon,Finnegan,10,4.25,1.36,160,"",605232
316,Josh,Tomlin,11,4.29,1.23,115,"",458708
