RNK,first,last,TEAM,POS,TYPE,    K,    W,  ERA, WHIP, SVHD
87,Adam,Ottavino,Col,RP,FA,58,3,3,1.14,32
88,Eduardo,Rodriguez,Bos,SP,FWB,123,9,3.97,1.25,0
89,Joe,Ross,Wsh,SP,FA,136,10,3.5,1.22,0
90,Hector,Neris,Phi,RP,FA,83,4,3.41,1.22,35
91,Lance,McCullers,Hou,SP,MS,163,9,3.37,1.32,0
92,Brandon,Maurer,SD,RP,FA,72,3,3.39,1.13,31
93,Jason,Hammel,KC,SP,SB,152,9,4.07,1.21,0
94,Julio,Urias,LAD,SP,FWB,134,8,3.6,1.18,0
95,James,Paxton,Sea,SP,FA,172,11,3.69,1.24,0
96,Jim,Johnson,Atl,RP,SCHR,60,3,3.55,1.32,31
97,Ian,Kennedy,KC,SP,FWB,178,11,3.85,1.27,0
98,Addison,Reed,NYM,RP,CV,84,4,2.72,1.08,35
99,Zach,Davies,Mil,SP,FA,157,11,3.64,1.19,0
100,Ryan,Madson,Oak,RP,ZADZ,56,3,3.77,1.23,30
101,Blake,Snell,TB,SP,FA,163,9,3.7,1.38,0
102,Michael,Lorenzen,Cin,RP,FA,78,5,2.89,1.13,23
103,Steven,Wright,Bos,RP,FA,85,7,3.58,1.27,0
104,Neftali,Feliz,Mil,RP,FA,60,3,4.02,1.2,36
105,Michael,Wacha,StL,RP,GS,72,5,3.87,1.29,0
106,Jordan,Zimmermann,Det,SP,GS,114,9,4.06,1.24,0
107,Santiago,Casilla,Oak,RP,SHAW,54,3,3.1,1.16,11
108,Jerad,Eickhoff,Phi,SP,ZADZ,175,10,3.9,1.22,0
109,Cam,Bedrosian,LAA,RP,ROCK,68,4,2.57,1.22,34
110,Tyler,Glasnow,Pit,SP,MS,83,5,3.78,1.42,0
111,Garrett,Richards,LAA,SP,FA,154,11,3.49,1.28,0
112,Dylan,Bundy,Bal,"SP,",ZADZ,158,10,3.89,1.27,0
113,Scott,Kazmir,LAD,SP,FA,135,9,4.12,1.29,0
114,Fernando,Rodney,Ari,RP,FWB,66,3,4.36,1.48,27
115,Jaime,Garcia,Atl,SP,FA,128,8,4,1.29,0
116,Nate,Jones,CWS,RP,GS,81,4,2.7,0.97,27
117,Mauricio,Cabrera,Atl,RP,SHAW,65,3,3.5,1.3,18
118,Alex,Cobb,TB,SP,ZADZ,135,9,3.84,1.29,0
119,Shawn,Kelley,Wsh,RP,FA,73,3,2.95,1.02,30
120,Collin,McHugh,Hou,SP,SB,176,11,4.14,1.29,0
121,Kyle,Barraclough,Mia,RP,GS,96,4,2.41,1.28,32
122,Mike,Foltynewicz,Atl,SP,FA,155,8,4.18,1.33,0
123,Trevor,Rosenthal,StL,RP,FA,58,3,3.95,1.42,0
124,Trevor,Bauer,Cle,SP,SLUG,168,11,4.13,1.35,0
125,Bartolo,Colon,Atl,SP,SB,111,9,4.24,1.33,0
126,Joaquin,Benoit,Phi,RP,FA,54,2,3.35,1.25,24
127,Lucas,Giolito,CWS,SP,ROCK,41,2,4.03,1.37,0
128,Brad,Brach,Bal,RP,FA,88,5,2.73,1.14,27
129,Mike,Fiers,Hou,SP,FA,151,9,4.19,1.29,0
130,Jose,Berrios,Min,SP,FA,77,5,3.77,1.24,0
131,Joakim,Soria,KC,RP,FA,67,3,3.49,1.28,35
132,Jeremy,Hellickson,Phi,SP,FA,173,10,3.95,1.21,0
133,Brandon,Kintzler,Min,RP,FA,36,3,3.16,1.18,25
134,Mike,Leake,StL,SP,FA,121,10,4.22,1.27,0
135,Brandon,Finnegan,Cin,SP,FA,161,10,3.86,1.35,0
136,Luis,Severino,NYY,"SP,",FA,107,7,3.77,1.22,0
137,Tyler,Anderson,Col,SP,FA,142,12,3.83,1.31,0
138,Jeanmar,Gomez,Phi,RP,SHAW,47,3,4.17,1.36,20
