RNK,first,last,TEAM,POS,TYPE,    K,    W,  ERA, WHIP, SVHD
398,Trevor,Cahill,SD,RP,FA,78,4,4.45,1.52,0
399,David,Hernandez,SF,RP,FA,58,2,4.42,1.47,10
400,Felix,Doubront,Oak,RP,FA,15,1,4.29,1.43,0
401,Samuel,Deduno,Hou,RP,FA,--,--,--,--,--
402,Mike,Dunn,Col,RP,FA,64,3,4.57,1.41,16
403,Todd,Redmond,Bal,RP,FA,--,--,--,--,--
404,Cesar,Valdez,Oak,SP,FA,--,--,--,--,--
405,Junichi,Tazawa,Mia,RP,SB,56,2,3.53,1.2,7
406,Andrew,Bailey,LAA,RP,FA,37,2,4.83,1.37,8
407,Anthony,Ortega,KC,RP,FA,--,--,--,--,--
408,Antonio,Bastardo,Pit,RP,FA,75,3,3.95,1.3,14
409,David,Huff,LAA,"RP,",FA,--,--,--,--,--
410,Dillon,Gee,Tex,RP,FA,19,1,5.14,1.43,0
411,Donnie,Veal,Tex,RP,FA,--,--,--,--,--
412,Brooks,Brown,LAD,RP,FA,--,--,--,--,--
413,Tim,Alderson,Bal,SP,FA,--,--,--,--,--
414,Jhoulys,Chacin,SD,"SP,",FA,119,7,4.41,1.45,0
415,Derek,Holland,CWS,SP,FA,58,4,4.5,1.36,0
416,Vin,Mazzaro,SF,RP,FA,--,--,--,--,--
417,Anthony,Swarzak,CWS,RP,FA,23,2,4.64,1.27,0
418,Ronald,Belisario,TB,RP,FA,--,--,--,--,--
419,Arturo,Lopez,SD,SP,FA,--,--,--,--,--
420,Matt,Buschmann,Ari,"SP,",FA,--,--,--,--,--
421,Jeff,Howell,Wsh,SP,FA,--,--,--,--,--
422,Sam,LeCure,Ari,RP,FA,--,--,--,--,--
423,Tony,Barnette,Tex,RP,FA,56,3,3.57,1.22,14
424,Ryan,Brasier,Oak,RP,FA,--,--,--,--,--
425,Mat,Latos,FA,SP,FA,39,3,4.25,1.4,0
426,Brad,Mills,Sea,SP,FA,--,--,--,--,--
427,Josh,Fields,LAD,RP,FA,34,2,3.41,1.21,0
428,Justin,Jackson,Atl,RP,FA,--,--,--,--,--
429,Phillippe,Aumont,CWS,SP,FA,--,--,--,--,--
430,Ryan,Mattheus,Cin,RP,FA,--,--,--,--,--
431,Kris,Medlen,FA,RP,FA,16,1,4.74,1.53,0
432,Craig,Stammen,SD,RP,FA,--,--,--,--,--
433,Marc,Rzepczynski,Sea,RP,FA,50,2,3.48,1.45,15
434,Bud,Norris,LAA,"RP,",FA,--,--,--,--,--
435,Doug,Fister,FA,SP,FA,96,8,4.68,1.41,0
436,Jeff,Manship,FA,RP,FA,--,--,--,--,--
437,Dan,Runzler,Pit,RP,FA,--,--,--,--,--
438,John,Axford,Oak,RP,FA,64,3,4,1.43,17
439,Deolis,Guerra,LAA,RP,FA,50,3,3.5,1.17,5
440,Anthony,Varvaro,Bos,RP,FA,--,--,--,--,--
441,Steve,Johnson,Sea,RP,FA,--,--,--,--,--
442,Blake,Wood,Cin,RP,FA,77,3,3.95,1.42,14
443,Logan,Ondrusek,Bal,RP,FA,20,1,5.87,1.57,0
444,Zach,Phillips,StL,RP,FA,28,1,4.32,1.52,0
445,Chaz,Roe,Atl,RP,FA,50,3,3.29,1.2,0
446,Fernando,Abad,Bos,RP,FA,35,2,3.73,1.29,5
447,Yohan,Flande,Col,"SP,",FA,--,--,--,--,--
448,Juan,Jaime,Atl,RP,FA,--,--,--,--,--
449,Atahualpa,Severino,LAA,RP,FA,--,--,--,--,--
450,JC,Ramirez,LAA,RP,FA,64,4,4.09,1.29,15
451,Nick,Hill,Sea,RP,FA,--,--,--,--,--
452,Yohan,Pino,KC,RP,FA,--,--,--,--,--
453,Tanner,Scheppers,Tex,RP,FA,30,2,5.05,1.41,8
454,Cody,Satterwhite,LAA,RP,FA,--,--,--,--,--
455,Zach,Putnam,CWS,RP,FA,49,2,3.27,1.27,4
456,Al,Alburquerque,KC,RP,FA,--,--,--,--,--
457,Bryan,Morris,SF,RP,FA,--,--,--,--,--
458,Hector,Noesi,CWS,SP,FA,--,--,--,--,--
459,Javy,Guerra,Mia,RP,FA,--,--,--,--,--
460,Matt,Nevarez,TB,RP,FA,--,--,--,--,--
461,Travis,Wood,KC,RP,FA,52,3,4.2,1.32,0
462,Blake,Parker,LAA,RP,FA,15,1,3.46,1.23,0
463,Jean,Machi,Sea,RP,FA,--,--,--,--,--
464,Casey,Kelly,ChC,"SP,",FA,--,--,--,--,--
465,Frank,Herrmann,Phi,RP,FA,17,1,5.4,1.45,0
466,Kelvin,De,La,,FA,--,--,--,--,--
467,Jacob,Turner,CWS,RP,FA,16,1,5.73,1.55,0
468,Kevin,Whelan,Oak,RP,FA,--,--,--,--,--
469,Jeremy,Bleich,Pit,RP,FA,--,--,--,--,--
470,Jenrry,Mejia,NYM,RP,FA,--,--,--,--,--
471,Alexi,Ogando,Atl,RP,FA,--,--,--,--,--
472,Erik,Cordier,Mia,RP,FA,--,--,--,--,--
473,Dan,Jennings,CWS,RP,FA,49,3,2.8,1.36,1
474,Ryan,Chaffee,Mia,RP,FA,--,--,--,--,--
475,Michael,Kohn,Atl,RP,FA,--,--,--,--,--
476,Michael,Kirkman,Mil,RP,FA,--,--,--,--,--
477,Simon,Castro,Oak,RP,FA,--,--,--,--,--
478,Cory,Luebke,CWS,RP,FA,--,--,--,--,--
479,Tommy,Layne,NYY,RP,FA,43,2,3.56,1.27,11
480,James,Russell,Cle,RP,FA,--,--,--,--,--
481,Kyle,Drabek,Ari,RP,FA,--,--,--,--,--
482,Charlie,Leesman,Pit,RP,FA,--,--,--,--,--
483,Christian,Friedrich,SD,SP,FA,122,7,4.44,1.44,0
484,Matt,Reynolds,SF,RP,FA,--,--,--,--,--
485,Danny,Farquhar,TB,RP,FA,46,2,3.83,1.3,5
486,Chad,Jenkins,Tor,RP,FA,--,--,--,--,--
487,Kenn,Kasparek,Pit,RP,FA,--,--,--,--,--
488,Anthony,Vasquez,Phi,SP,FA,--,--,--,--,--
489,Mike,Minor,KC,RP,FA,50,2,5.28,1.48,0
490,Chris,Hatcher,LAD,RP,FA,44,2,4.5,1.34,5
491,Fernando,Salas,NYM,RP,FA,66,3,4.11,1.27,15
492,Cory,Gearrin,SF,RP,FA,41,2,3.56,1.14,14
493,Juan,Sandoval,TB,RP,FA,--,--,--,--,--
494,Jay,Jackson,SD,RP,FA,--,--,--,--,--
495,Brian,Schlitter,Col,RP,FA,--,--,--,--,--
496,Chris,Withrow,KC,RP,FA,38,2,3.5,1.22,5
497,Andy,Oliver,Mil,RP,FA,--,--,--,--,--
498,Ethan,Martin,Phi,RP,FA,--,--,--,--,--
499,Scott,Barnes,ChC,RP,FA,--,--,--,--,--
500,Lester,Oliveros,Min,RP,FA,--,--,--,--,--
501,Blaine,Hardy,Det,RP,FA,19,2,3,1.25,0
502,Salvador,Sanchez,CWS,RP,FA,--,--,--,--,--
503,Scott,Rice,Ari,RP,FA,--,--,--,--,--
504,Pat,Urckfitz,Mia,RP,FA,--,--,--,--,--
505,Jhan,Marinez,Mil,RP,FA,56,4,3.8,1.41,0
506,Vance,Worley,Wsh,RP,FA,25,3,3.86,1.29,0
507,Gregory,Infante,Phi,RP,FA,--,--,--,--,--
508,Robert,Coello,NYY,SP,FA,--,--,--,--,--
509,Sandy,Rosario,SF,RP,FA,--,--,--,--,--
510,Brandon,Beachy,LAD,SP,FA,--,--,--,--,--
511,Steve,Cishek,Sea,RP,CV,37,2,3.16,1.16,8
512,Vinnie,Pestano,NYY,RP,FA,--,--,--,--,--
513,David,Carpenter,TB,RP,FA,--,--,--,--,--
514,Casey,Weathers,Cle,RP,FA,--,--,--,--,--
515,Nick,Hagadone,Sea,RP,FA,--,--,--,--,--
516,Sean,Doolittle,Oak,RP,FA,42,2,3.41,1.14,16
517,Maikel,Cleto,ChC,RP,FA,--,--,--,--,--
518,Brandon,Gomes,ChC,RP,FA,--,--,--,--,--
519,Evan,Scribner,Sea,RP,FA,53,3,3.18,1,5
520,Justin,De,"Fratus,",,FA,--,--,--,--,--
521,Dane,De,La,,FA,--,--,--,--,--
522,Arquimedes,Caminero,Sea,RP,FA,--,--,--,--,--
523,Scott,Diamond,Tor,"SP,",FA,--,--,--,--,--
524,Pedro,Beato,Phi,RP,FA,--,--,--,--,--
525,George,Kontos,SF,RP,FA,43,3,3.05,1.16,11
526,John,Lamb,LAA,SP,FA,--,--,--,--,--
527,Chris,Dwyer,KC,RP,FA,--,--,--,--,--
528,Juan,Oramas,Tor,SP,FA,--,--,--,--,--
529,Bryce,Stowell,TB,RP,FA,--,--,--,--,--
530,Jason,Stoffel,Pit,RP,FA,--,--,--,--,--
531,Ryan,Verdugo,Oak,RP,FA,--,--,--,--,--
532,Rob,Rasmussen,LAA,RP,FA,--,--,--,--,--
533,Miguel,Socolovich,StL,RP,FA,19,1,3.15,1.15,0
534,Justin,Wilson,Det,RP,FA,63,3,3.69,1.25,30
535,Sammy,Solis,Wsh,RP,FA,42,2,3.43,1.33,5
536,Henderson,Alvarez,Oak,SP,FA,--,--,--,--,--
537,Rubby,De,La,,FA,67,4,4.1,1.33,0
538,Jose,Casilla,SF,RP,FA,--,--,--,--,--
539,Jorge,De,"Leon,",,FA,--,--,--,--,--
540,Arcenio,Leon,CWS,RP,FA,--,--,--,--,--
541,Jordan,Lyles,Col,RP,FA,42,3,5.66,1.66,8
542,Adam,Reifer,TB,RP,FA,--,--,--,--,--
543,Jeff,Locke,Mia,RP,FA,64,4,4.44,1.4,0
544,Kyle,McPherson,TB,RP,FA,--,--,--,--,--
545,Scott,Carroll,Tex,RP,FA,--,--,--,--,--
546,Rudy,Owens,Oak,SP,FA,--,--,--,--,--
547,Fabio,Castillo,LAD,RP,FA,--,--,--,--,--
548,Bruce,Billings,Wsh,SP,FA,--,--,--,--,--
549,Rex,Brothers,ChC,RP,FA,--,--,--,--,--
550,Chris,Carpenter,Cin,RP,FA,--,--,--,--,--
551,Everett,Teaford,TB,RP,FA,--,--,--,--,--
552,Josh,Collmenter,Atl,RP,FA,41,3,3.79,1.28,0
553,Randall,Delgado,Ari,RP,FA,75,4,4.14,1.47,10
554,Wade,Miley,Bal,SP,ROCK,127,8,4.7,1.38,0
555,Jarred,Cosart,SD,SP,FA,35,2,4.92,1.58,0
556,Adam,Warren,NYY,RP,FA,57,3,3.95,1.21,15
557,Cesar,Cabral,Bal,RP,FA,--,--,--,--,--
558,Alberto,Cabrera,Det,RP,FA,--,--,--,--,--
559,Albert,Suarez,SF,"SP,",FA,54,4,4.14,1.35,0
560,Yoervis,Medina,Phi,RP,FA,--,--,--,--,--
561,Stolmy,Pimentel,NYM,RP,FA,--,--,--,--,--
562,Mike,Broadway,Wsh,RP,FA,--,--,--,--,--
563,Brett,Oberholtzer,Tor,RP,FA,46,3,5.59,1.53,0
564,Louis,Coleman,Cin,RP,FA,47,2,4.21,1.43,0
565,Allen,Webster,Tex,SP,FA,--,--,--,--,--
566,Elvin,Ramirez,LAA,RP,FA,--,--,--,--,--
567,Manny,Banuelos,LAA,SP,FA,--,--,--,--,--
568,Alex,Torres,Atl,RP,FA,--,--,--,--,--
569,Adam,Wilk,NYM,RP,FA,24,1,5.03,1.38,0
570,Wily,Peralta,Mil,SP,FA,119,7,4.9,1.51,0
571,Armando,Rodriguez,Tex,RP,FA,--,--,--,--,--
572,Anthony,Bass,Tex,RP,FA,--,--,--,--,--
573,Neil,Ramirez,SF,RP,FA,31,2,3.86,1.32,0
574,John,Gast,StL,SP,FA,--,--,--,--,--
575,Mark,Hamburger,Min,RP,FA,--,--,--,--,--
576,Jim,Henderson,ChC,RP,FA,40,2,4.8,1.49,10
577,Nathan,Eovaldi,TB,SP,FA,--,--,--,--,--
578,Donovan,Hand,Cin,RP,FA,--,--,--,--,--
579,Jake,Brigham,Atl,RP,FA,--,--,--,--,--
580,Matt,Lollis,CWS,RP,FA,--,--,--,--,--
581,Anthony,Ranaudo,CWS,SP,FA,--,--,--,--,--
582,Charles,Brewer,Sea,SP,FA,--,--,--,--,--
583,Neil,Wagner,TB,RP,FA,--,--,--,--,--
584,Trey,McNutt,SD,RP,FA,--,--,--,--,--
585,Drake,Britton,Det,RP,FA,--,--,--,--,--
586,Tyler,Matzek,Col,SP,FA,--,--,--,--,--
587,Zach,Lee,SD,RP,FA,12,1,6,1.5,0
588,Carlos,Hernandez,Oak,SP,FA,--,--,--,--,--
589,David,Carpenter,Atl,RP,FA,--,--,--,--,--
590,Jae-Hoon,Ha,ChC,RP,FA,--,--,--,--,--
591,Austin,Bibens-Dirkx,Tor,SP,FA,--,--,--,--,--
592,Justin,Miller,LAA,RP,FA,41,2,3.95,1.37,0
593,Nick,Christiani,Cin,RP,FA,--,--,--,--,--
594,Steven,Geltz,LAD,RP,FA,29,1,4.18,1.25,0
595,Donn,Roach,Oak,"SP,",FA,--,--,--,--,--
596,Blake,Smith,CWS,RP,FA,--,--,--,--,--
597,Joe,Ortiz,ChC,RP,FA,--,--,--,--,--
598,Brian,Moran,LAA,RP,FA,--,--,--,--,--
599,Luis,Avilan,LAD,RP,FA,16,1,4.2,1.4,3
600,Pat,Venditte,Sea,RP,FA,25,1,4.09,1.36,1
601,Jaye,Chapman,Mil,RP,FA,--,--,--,--,--
602,Brad,Boxberger,TB,RP,FWB,70,3,3.71,1.32,16
603,Jose,Ortega,Col,RP,FA,--,--,--,--,--
604,Tom,Wilhelmsen,Ari,RP,FA,47,2,4.58,1.4,14
605,Nate,Adcock,Bal,RP,FA,--,--,--,--,--
606,Cole,Kimball,Wsh,RP,FA,--,--,--,--,--
607,Ryan,Cook,Sea,RP,FA,16,1,5,1.5,0
608,Kevin,Munson,Ari,RP,FA,--,--,--,--,--
609,Nick,Vincent,Sea,RP,FA,62,3,3.41,1.12,23
610,Will,Smith,SF,RP,FA,49,2,3.43,1.31,22
611,Jared,Hughes,Pit,RP,FA,44,3,3.14,1.32,20
612,Alex,Wilson,Det,RP,FA,49,4,3,1.19,18
613,Colt,Hynes,Tor,RP,FA,--,--,--,--,--
614,Charlie,Furbush,Sea,RP,FA,--,--,--,--,--
615,Brad,Peacock,Hou,RP,FA,25,2,4.78,1.41,0
616,David,Holmberg,CWS,SP,FA,--,--,--,--,--
617,A.J.,Cole,Wsh,"RP,",FA,36,2,4.39,1.34,0
618,Blake,Perry,Ari,SP,FA,--,--,--,--,--
619,Erik,Davis,Ari,RP,FA,--,--,--,--,--
620,Zac,Rosscup,ChC,RP,FA,22,1,3.6,1.4,0
621,A.J.,Morris,Cin,RP,FA,--,--,--,--,--
622,Tim,Berry,Mia,SP,FA,--,--,--,--,--
623,Parker,Bridwell,Bal,"SP,",FA,--,--,--,--,--
624,Bobby,Bundy,Bal,RP,FA,--,--,--,--,--
625,Paul,Clemens,SD,"RP,",FA,69,4,4.82,1.43,0
626,Oliver,Drake,Bal,RP,FA,38,2,3.66,1.25,0
627,Aaron,Kurcz,Oak,RP,FA,--,--,--,--,--
628,Ashur,Tolliver,Hou,RP,FA,15,1,4.8,1.4,0
629,Zeke,Spruill,Bos,RP,FA,--,--,--,--,--
630,Ross,Seaton,Hou,SP,FA,--,--,--,--,--
631,Daniel,Tillman,Mil,RP,FA,--,--,--,--,--
632,Alex,Burgos,LAD,RP,FA,--,--,--,--,--
633,Peter,Tago,Sea,RP,FA,--,--,--,--,--
634,Austin,Adams,LAA,RP,FA,18,1,4.71,1.48,0
635,Pat,Dean,Min,"SP,",FA,--,--,--,--,--
636,Jose,Cisnero,Ari,RP,FA,--,--,--,--,--
637,Daniel,Corcino,ChC,SP,FA,--,--,--,--,--
638,Logan,Darnell,Min,RP,FA,--,--,--,--,--
639,Cory,Burns,Tor,RP,FA,--,--,--,--,--
640,Kevin,Chapman,Hou,RP,FA,20,1,4.5,1.5,0
641,Mike,Belfiore,Det,SP,FA,--,--,--,--,--
642,J.R.,Bradley,Ari,RP,FA,--,--,--,--,--
643,Taylor,Jordan,Wsh,RP,FA,--,--,--,--,--
644,Tommy,Milone,Mil,RP,FA,43,3,4.25,1.28,0
645,Justin,Nicolino,Mia,RP,FA,14,1,4.18,1.32,0
646,Danny,Rosenbaum,Bos,SP,FA,--,--,--,--,--
647,Austin,Brice,Cin,RP,FA,9,0,4.5,1.3,0
648,Edwar,Cabrera,Hou,RP,FA,--,--,--,--,--
649,Daniel,Webb,CWS,RP,FA,11,1,4.2,1.6,0
650,Asher,Wojciechowski,Mia,SP,FA,--,--,--,--,--
651,Erik,Goeddel,NYM,RP,FA,36,2,4.5,1.47,2
652,Roman,Mendez,Bos,RP,FA,--,--,--,--,--
653,Luke,Jackson,Atl,RP,FA,--,--,--,--,--
654,Justin,Grimm,ChC,RP,FA,66,3,3.57,1.29,14
655,Liam,Hendriks,Oak,RP,FA,60,3,3.27,1.17,8
656,Kyle,Lobstein,Mia,RP,FA,7,0,4.5,1.5,0
657,Jesse,Biddle,Atl,RP,FA,9,0,4.91,1.64,0
658,Vic,Black,NYM,RP,FA,--,--,--,--,--
659,Wilfredo,Boscan,Pit,"SP,",FA,--,--,--,--,--
660,Josh,Zeid,LAA,RP,FA,--,--,--,--,--
661,Madison,Younginer,LAD,RP,FA,--,--,--,--,--
662,Michael,Ynoa,CWS,RP,FA,34,3,3.94,1.48,0
663,Jose,De,"Paula,",,FA,--,--,--,--,--
664,Jake,Dunning,SF,SP,FA,--,--,--,--,--
665,Robbie,Erlin,SD,SP,FA,--,--,--,--,--
666,Anthony,Fernandez,Sea,SP,FA,--,--,--,--,--
667,Kendry,Flores,StL,"RP,",FA,10,1,4.5,1.5,0
668,Buddy,Baumann,SD,RP,FA,25,2,3.54,1.21,0
669,Preston,Guilmet,Det,RP,FA,--,--,--,--,--
670,Eric,Surkamp,Tex,"RP,",FA,--,--,--,--,--
671,Austin,Ross,Mil,RP,FA,--,--,--,--,--
672,J.C.,Sulbaran,StL,SP,FA,--,--,--,--,--
673,Tim,Melville,Cin,SP,FA,--,--,--,--,--
674,Zach,Neal,Oak,RP,FA,15,1,4.09,1.27,0
675,Phil,Irwin,Tex,SP,FA,--,--,--,--,--
676,Robert,Morey,Mia,SP,FA,--,--,--,--,--
677,Parker,Frazier,CWS,SP,FA,--,--,--,--,--
678,Jim,Fuller,Pit,RP,FA,--,--,--,--,--
679,Perci,Garner,Cle,RP,FA,16,1,4.5,1.44,0
680,Edgar,Olmos,Bos,RP,FA,--,--,--,--,--
681,Ismael,Guillon,Cin,SP,FA,--,--,--,--,--
682,Johnny,Hellweg,SD,SP,FA,--,--,--,--,--
683,Heath,Hembree,Bos,RP,FA,35,2,3.55,1.29,8
684,Jake,Petricka,CWS,RP,FA,--,--,--,--,--
685,Alex,Wimmers,Min,RP,FA,21,1,4.32,1.48,0
686,Jonathan,Pettibone,ChC,SP,FA,--,--,--,--,--
687,Mario,Hollands,Phi,RP,FA,--,--,--,--,--
688,Joe,Wieland,Sea,SP,FA,--,--,--,--,--
689,Chase,Whitley,TB,RP,FA,15,1,3.5,1.17,0
690,Edgar,Ibarra,LAA,RP,FA,--,--,--,--,--
691,Adys,Portillo,SD,RP,FA,--,--,--,--,--
692,Tyrell,Jenkins,SD,RP,FA,23,2,4.62,1.51,0
693,Tommy,Kahnle,CWS,RP,FA,55,2,3.81,1.42,4
694,Michael,Kickham,Tex,SP,FA,--,--,--,--,--
695,Nick,Kingham,Pit,SP,FA,24,2,3.77,1.32,0
696,Richard,Vargas,Sea,RP,FA,--,--,--,--,--
697,Ian,Krol,Atl,RP,FA,50,2,3.71,1.33,8
698,Shawn,Tolleson,TB,RP,FA,44,2,4.4,1.3,0
699,Braulio,Lara,Wsh,RP,FA,--,--,--,--,--
700,Matt,Magill,Cin,RP,FA,15,1,5.4,1.75,0
701,Brett,Marshall,Col,SP,FA,--,--,--,--,--
702,Tyler,Sturdevant,Oak,RP,FA,--,--,--,--,--
703,Bryan,Mitchell,NYY,SP,FWB,78,5,4.45,1.51,0
704,Ramon,Morla,Sea,RP,FA,--,--,--,--,--
705,Tommy,Shirley,Hou,SP,FA,--,--,--,--,--
706,Rob,Scahill,Mil,RP,FA,33,2,3.86,1.31,0
707,Keyvius,Sampson,Ari,RP,FA,29,2,4.64,1.55,0
708,Jimmy,Reyes,Tex,RP,FA,--,--,--,--,--
709,Andre,Rienzo,SD,RP,FA,14,1,4.5,1.56,0
710,Wilking,Rodriguez,NYY,RP,FA,--,--,--,--,--
711,Reinier,Roibal,Phi,RP,FA,--,--,--,--,--
712,Enny,Romero,Wsh,RP,FA,49,2,4.88,1.48,4
713,Seth,Rosin,Phi,RP,FA,--,--,--,--,--
714,Evan,Rutckyj,NYY,RP,FA,--,--,--,--,--
715,Adrian,Salcedo,Min,RP,FA,--,--,--,--,--
716,Deck,McGuire,StL,SP,FA,--,--,--,--,--
717,Loek,Van,"Mil,",,FA,--,--,--,--,--
718,Jarret,Martin,Mil,RP,FA,--,--,--,--,--
719,Cory,Rasmus,TB,RP,FA,23,1,4.09,1.36,0
720,Chris,Rusin,Col,RP,FA,52,4,4.38,1.39,0
721,Danny,Hultzen,Sea,SP,FA,--,--,--,--,--
722,Dylan,Axelrod,Mia,RP,FA,--,--,--,--,--
723,Steve,Delabar,Cle,RP,FA,--,--,--,--,--
724,Xavier,Cedeno,TB,RP,FA,49,2,3.07,1.18,22
725,Kyle,Lotzkar,Cin,RP,FA,--,--,--,--,--
726,Lucas,Luetge,Cin,RP,FA,--,--,--,--,--
727,Terry,Doyle,Bos,SP,FA,--,--,--,--,--
728,Matt,West,LAD,RP,FA,--,--,--,--,--
729,Ariel,Pena,Mil,"SP,",FA,--,--,--,--,--
730,Jeff,Beliveau,Tor,RP,FA,--,--,--,--,--
731,Stephen,Fife,Mia,"RP,",FA,--,--,--,--,--
732,Josh,Wall,CWS,RP,FA,--,--,--,--,--
733,Tsuyoshi,Wada,ChC,SP,FA,--,--,--,--,--
734,Rafael,Martin,Wsh,RP,FA,--,--,--,--,--
735,Jed,Bradley,Bal,RP,FA,10,1,4.2,1.33,0
736,Taylor,Jungmann,Mil,RP,FA,15,1,4.7,1.43,0
737,Robbie,Ross,"Jr.,",,FA,41,2,3.52,1.26,11
738,Chen-Chang,Lee,Col,RP,FA,--,--,--,--,--
739,Nick,Greenwood,ChC,RP,FA,--,--,--,--,--
740,Kevin,Siegrist,StL,RP,FA,63,3,3.14,1.21,23
741,Jordan,Swagerty,StL,RP,FA,--,--,--,--,--
742,Dustin,Molleken,Det,RP,FA,12,1,4.2,1.6,0
743,Sean,Gilmartin,NYM,RP,FA,17,1,5.14,1.43,0
744,Sam,Freeman,Atl,RP,FA,--,--,--,--,--
745,Pedro,Villarreal,Cin,RP,FA,--,--,--,--,--
746,Mitch,Lively,Wsh,RP,FA,--,--,--,--,--
747,Jarrett,Grube,Tor,SP,FA,--,--,--,--,--
748,Forrest,Snow,Mil,SP,FA,--,--,--,--,--
749,Matt,Purke,CWS,RP,FA,16,1,5.4,1.7,0
750,Jose,Alvarez,LAA,RP,FA,58,3,4.14,1.38,12
751,Evan,Marshall,Ari,RP,FA,--,--,--,--,--
752,Danny,Burawa,Atl,RP,FA,--,--,--,--,--
753,Ryan,Tepera,Tor,RP,FA,19,1,3.43,1.24,0
754,Ryan,Reid,Mia,RP,FA,--,--,--,--,--
755,Jorge,Reyes,SD,RP,FA,--,--,--,--,--
756,Rhiner,Cruz,Atl,RP,FA,--,--,--,--,--
757,Raul,Alcantara,Oak,SP,FA,13,1,4.5,1.3,0
758,Vicente,Campos,LAA,"SP,",FA,--,--,--,--,--
759,J.R.,Graham,NYY,RP,FA,--,--,--,--,--
760,Robert,Stephenson,Cin,SP,FA,37,2,4.95,1.48,0
761,Nick,Maronde,Mia,RP,FA,--,--,--,--,--
762,Matt,Barnes,Bos,RP,FA,60,3,4.13,1.39,14
763,Chris,Reed,Mia,RP,FA,--,--,--,--,--
764,Scott,Barlow,LAD,SP,FA,--,--,--,--,--
765,Adrian,Houser,Mil,RP,FA,--,--,--,--,--
766,Domingo,Tapia,NYM,RP,FA,--,--,--,--,--
767,Luis,Heredia,Pit,SP,FA,--,--,--,--,--
768,Taylor,Guerrieri,TB,RP,FA,41,4,3.68,1.3,0
769,Kyle,Crick,SF,RP,FA,--,--,--,--,--
770,Clayton,Blackburn,SF,SP,FA,--,--,--,--,--
771,Alex,Meyer,LAA,"RP,",FA,66,4,4.24,1.5,0
772,Erik,Johnson,SD,SP,FA,--,--,--,--,--
773,Jake,Diekman*,Tex,RP,FA,23,1,3.68,1.27,22
774,Jumbo,Diaz,Cin,RP,FA,59,3,3.51,1.27,4
775,Tony,Zych,Sea,RP,FA,35,2,3.55,1.33,0
776,Josh,Edgin,NYM,RP,FA,22,1,3.68,1.5,0
777,A.J.,Schugel,Pit,RP,FA,42,3,3.5,1.17,2
778,Bryan,Price,Cle,RP,FA,--,--,--,--,--
779,Andrew,McKirahan,Cin,RP,FA,9,1,4.09,1.45,0
780,Gerardo,Concepcion,ChC,RP,FA,--,--,--,--,--
781,Darin,Gorski,NYM,SP,FA,--,--,--,--,--
782,Logan,Bawcom,SD,RP,FA,--,--,--,--,--
783,Frank,Batista,ChC,SP,FA,--,--,--,--,--
784,Marcus,Hatley,StL,RP,FA,--,--,--,--,--
785,Zach,Thornton,NYM,RP,FA,--,--,--,--,--
786,Mike,Wright,Bal,SP,FA,43,4,4.5,1.33,0
787,Branden,Pinder,NYY,RP,FA,--,--,--,--,--
788,Mark,Montgomery,NYY,RP,FA,--,--,--,--,--
789,Jeff,Malm,TB,RP,FA,--,--,--,--,--
790,Jeremy,McBryde,LAA,RP,FA,--,--,--,--,--
791,Angel,Sanchez,Pit,SP,FA,--,--,--,--,--
792,Lisalverto,Bonilla,Cin,RP,FA,27,2,4.34,1.45,0
793,Thad,Weber,Det,SP,FA,--,--,--,--,--
794,Johan,Yan,Tex,RP,FA,--,--,--,--,--
795,Casey,Medlen,Mil,RP,FA,--,--,--,--,--
796,Kevin,Quackenbush,SD,RP,FA,50,3,3.72,1.28,11
797,Aaron,Loup,Tor,RP,FA,32,2,3.48,1.23,0
798,Chris,Jones,LAA,SP,FA,--,--,--,--,--
799,Mark,Lamm,Atl,RP,FA,--,--,--,--,--
800,Michael,Mariot,Phi,RP,FA,16,1,3.71,1.29,0
801,Carlos,Pimentel,SD,SP,FA,--,--,--,--,--
802,Rob,Wooten,Atl,RP,FA,--,--,--,--,--
803,Kenny,Faulk,Det,RP,FA,--,--,--,--,--
804,Colton,Murray,Phi,RP,FA,31,1,4.36,1.45,0
805,Caleb,Thielbar,Mia,RP,FA,--,--,--,--,--
806,Ruben,Alaniz,Det,RP,FA,--,--,--,--,--
807,Tyler,Knigge,Phi,RP,FA,--,--,--,--,--
808,Bo,Schultz,Tor,RP,FA,12,1,4.71,1.33,0
809,Keith,Hessler,SD,RP,FA,37,2,3.71,1.35,0
810,Brock,Huntzinger,Col,RP,FA,--,--,--,--,--
811,Brett,Bochy,SF,RP,FA,--,--,--,--,--
812,Eric,Eadington,LAD,SP,FA,--,--,--,--,--
813,Drew,Hayes,Cin,RP,FA,--,--,--,--,--
814,Victor,Mateo,Atl,SP,FA,--,--,--,--,--
815,Danny,Barnes,Tor,RP,FA,30,2,3.54,1.21,0
816,Dustin,Antolin,Wsh,RP,FA,--,--,--,--,--
817,C.J.,Riefenhauser,Hou,RP,FA,13,1,3.6,1.33,0
818,John,Church,NYM,RP,FA,--,--,--,--,--
819,Jerry,Sullivan,SD,RP,FA,--,--,--,--,--
820,J.J.,Hoover,Ari,RP,FA,--,--,--,--,--
821,A.J.,Griffin,Tex,RP,FA,90,5,5.03,1.42,0
822,Mickey,Storey,Tor,SP,FA,--,--,--,--,--
823,Jose,De,La,,FA,--,--,--,--,--
